snapped_at,price,market_cap,total_volume
2024-10-08 00:00:00 UTC,150.77517293254093,488208723.3389944,10812320.752674168
2024-10-09 00:00:00 UTC,149.67578490559208,485029382.002776,4810177.562161924
2024-10-10 00:00:00 UTC,145.26823573715407,471129408.8541117,4266304.9762578495
2024-10-11 00:00:00 UTC,144.57760789686736,468252244.0930631,6358883.181953273
2024-10-12 00:00:00 UTC,151.73363925539343,491607867.077311,6139546.548064732
2024-10-13 00:00:00 UTC,153.25480743774287,499422000.673747,10534322.852618763
2024-10-14 00:00:00 UTC,154.14608498905622,506834682.5084183,7351635.7324456675
2024-10-15 00:00:00 UTC,164.55545374255286,556711718.5277983,10490349.055684352
2024-10-16 00:00:00 UTC,161.782581677387,553026641.84783,7344423.368761369
2024-10-17 00:00:00 UTC,161.29081207128115,555361328.4259434,14621444.80723702
2024-10-18 00:00:00 UTC,157.23211017673063,540905380.8350962,14105770.954803115
2024-10-19 00:00:00 UTC,162.0946930233166,559986819.4699461,11361361.720283419
2024-10-20 00:00:00 UTC,166.8236660194444,578316327.946348,9685883.486411925
2024-10-21 00:00:00 UTC,175.45829362620134,611086754.8056797,13963611.485513484
2024-10-22 00:00:00 UTC,174.17009657972304,608030977.9353813,28133639.658969548
2024-10-23 00:00:00 UTC,175.32073563590612,615538675.2316349,14498001.238662481
2024-10-24 00:00:00 UTC,179.1742861778824,630269279.107505,14113599.803323586
2024-10-25 00:00:00 UTC,185.6361484160693,652616868.2479823,15380503.739876296
2024-10-26 00:00:00 UTC,171.83633616863622,616708620.471796,16619076.474256296
2024-10-27 00:00:00 UTC,178.67814706696743,643994563.900796,10993402.175864737
2024-10-28 00:00:00 UTC,185.24581590133,668292447.7508446,13976003.657255942
2024-10-29 00:00:00 UTC,186.7682180292988,673807011.1868885,13255451.139615035
2024-10-30 00:00:00 UTC,187.74525221059022,674314793.3461175,31904215.13714126
2024-10-31 00:00:00 UTC,183.94030809141503,655729399.795129,26586665.738866948
